Gene                     Worse    Same     Better  
global_mutation_rate     0.0056   0.0056   0.0056  
global_crossover_rate    0.6981   0.6981   0.6981  
seed                     0.0056   0.0056   0.0056  
stamp                    0.0056   0.0056   0.0056  
stamp_offset             0.0056   0.0056   0.0056  
repeat_mode              0.0056   0.0056   0.0056  
repeat_offset            0.0056   0.0056   0.0056  
mirror                   0.0056   0.0056   0.0056  
