Gene                     Worse    Same     Better  
global_mutation_rate     0.0003   0.0003   0.0003  
global_crossover_rate    0.2328   0.2328   0.2328  
seed                     0.0003   0.0003   0.0003  
stamp                    0.0003   0.0003   0.0003  
stamp_offset             0.0003   0.0003   0.0003  
repeat_mode              0.0003   0.0003   0.0003  
repeat_offset            0.0003   0.0003   0.0003  
mirror                   0.0003   0.0003   0.0003  
