,key,fitness_vector,rate,fixed_value,use_fitness_vector,use_per_gene_config,fitness_goal
1,global_crossover_rate,BETTER,0.5455902892055223,,True,True,still_life
2,seed,BETTER,0.003283278410069949,,True,True,still_life
3,stamp,BETTER,0.0,True,True,True,still_life
4,stamp_offset,BETTER,0.005163750896235319,,True,True,still_life
5,repeat_mode,BETTER,0.00397016971637778,,True,True,still_life
6,repeat_offset,BETTER,0.0038642744910411843,,True,True,still_life
7,mirror,BETTER,0.0030766425804175227,,True,True,still_life
0,global_mutation_rate,WORSE,0.0016340249376192838,,False,False,explode
1,global_crossover_rate,WORSE,0.3794554417576478,,False,False,explode
2,seed,WORSE,0.0016340249376192838,,False,False,explode
3,stamp,WORSE,0.0016340249376192838,,False,False,explode
4,stamp_offset,WORSE,0.0016340249376192838,,False,False,explode
5,repeat_mode,WORSE,0.0016340249376192838,,False,False,explode
6,repeat_offset,WORSE,0.0016340249376192838,,False,False,explode
7,mirror,WORSE,0.0016340249376192838,,False,False,explode
0,global_mutation_rate,SAME,0.0016340249376192838,,False,False,explode
1,global_crossover_rate,SAME,0.3794554417576478,,False,False,explode
2,seed,SAME,0.0016340249376192838,,False,False,explode
3,stamp,SAME,0.0016340249376192838,,False,False,explode
4,stamp_offset,SAME,0.0016340249376192838,,False,False,explode
5,repeat_mode,SAME,0.0016340249376192838,,False,False,explode
6,repeat_offset,SAME,0.0016340249376192838,,False,False,explode
7,mirror,SAME,0.0016340249376192838,,False,False,explode
0,global_mutation_rate,BETTER,0.0016340249376192838,,False,False,explode
1,global_crossover_rate,BETTER,0.3794554417576478,,False,False,explode
2,seed,BETTER,0.0016340249376192838,,False,False,explode
3,stamp,BETTER,0.0016340249376192838,,False,False,explode
4,stamp_offset,BETTER,0.0016340249376192838,,False,False,explode
5,repeat_mode,BETTER,0.0016340249376192838,,False,False,explode
6,repeat_offset,BETTER,0.0016340249376192838,,False,False,explode
7,mirror,BETTER,0.0016340249376192838,,False,False,explode
0,global_mutation_rate,WORSE,0.004011647870223289,,False,True,explode
1,global_crossover_rate,WORSE,0.816586605596929,,False,True,explode
2,seed,WORSE,0.007230440281239962,,False,True,explode
3,stamp,WORSE,0.005760038510265372,,False,True,explode
4,stamp_offset,WORSE,0.001975458551145047,,False,True,explode
5,repeat_mode,WORSE,0.0013050219248785992,,False,True,explode
6,repeat_offset,WORSE,0.005952884899153479,,False,True,explode
7,mirror,WORSE,0.0005877924315407302,,False,True,explode
0,global_mutation_rate,SAME,0.004011647870223289,,False,True,explode
1,global_crossover_rate,SAME,0.816586605596929,,False,True,explode
2,seed,SAME,0.007230440281239962,,False,True,explode
3,stamp,SAME,0.005760038510265372,,False,True,explode
4,stamp_offset,SAME,0.001975458551145047,,False,True,explode
5,repeat_mode,SAME,0.0013050219248785992,,False,True,explode
6,repeat_offset,SAME,0.005952884899153479,,False,True,explode
7,mirror,SAME,0.0005877924315407302,,False,True,explode
0,global_mutation_rate,BETTER,0.004011647870223289,,False,True,explode
1,global_crossover_rate,BETTER,0.816586605596929,,False,True,explode
2,seed,BETTER,0.007230440281239962,,False,True,explode
3,stamp,BETTER,0.005760038510265372,,False,True,explode
4,stamp_offset,BETTER,0.001975458551145047,,False,True,explode
5,repeat_mode,BETTER,0.0013050219248785992,,False,True,explode
6,repeat_offset,BETTER,0.005952884899153479,,False,True,explode
7,mirror,BETTER,0.0005877924315407302,,False,True,explode
0,global_mutation_rate,WORSE,0.008616725363527911,,True,False,explode
1,global_crossover_rate,WORSE,0.39563190106066426,,True,False,explode
2,seed,WORSE,0.008616725363527911,,True,False,explode
3,stamp,WORSE,0.008616725363527911,,True,False,explode
4,stamp_offset,WORSE,0.008616725363527911,,True,False,explode
5,repeat_mode,WORSE,0.008616725363527911,,True,False,explode
6,repeat_offset,WORSE,0.008616725363527911,,True,False,explode
7,mirror,WORSE,0.008616725363527911,,True,False,explode
0,global_mutation_rate,SAME,0.0024865633392028566,,True,False,explode
1,global_crossover_rate,SAME,0.9145475897405435,,True,False,explode
2,seed,SAME,0.0024865633392028566,,True,False,explode
3,stamp,SAME,0.0024865633392028566,,True,False,explode
4,stamp_offset,SAME,0.0024865633392028566,,True,False,explode
5,repeat_mode,SAME,0.0024865633392028566,,True,False,explode
6,repeat_offset,SAME,0.0024865633392028566,,True,False,explode
7,mirror,SAME,0.0024865633392028566,,True,False,explode
0,global_mutation_rate,BETTER,0.001902089084408115,,True,False,explode
1,global_crossover_rate,BETTER,0.4588518525873988,,True,False,explode
2,seed,BETTER,0.001902089084408115,,True,False,explode
3,stamp,BETTER,0.001902089084408115,,True,False,explode
4,stamp_offset,BETTER,0.001902089084408115,,True,False,explode
5,repeat_mode,BETTER,0.001902089084408115,,True,False,explode
6,repeat_offset,BETTER,0.001902089084408115,,True,False,explode
7,mirror,BETTER,0.001902089084408115,,True,False,explode
0,global_mutation_rate,WORSE,0.0013943545152740467,,True,True,explode
1,global_crossover_rate,WORSE,0.8022351389371389,,True,True,explode
2,seed,WORSE,0.002638291736531407,,True,True,explode
3,stamp,WORSE,0.0018987067496400794,,True,True,explode
4,stamp_offset,WORSE,0.002096731299744502,,True,True,explode
5,repeat_mode,WORSE,0.0012653033972140093,,True,True,explode
6,repeat_offset,WORSE,0.0005599582571277175,,True,True,explode
7,mirror,WORSE,0.0003718439677920919,,True,True,explode
0,global_mutation_rate,SAME,0.0062744604170309,,True,True,explode
1,global_crossover_rate,SAME,0.8640640283752794,,True,True,explode
2,seed,SAME,0.0002451049788360576,,True,True,explode
3,stamp,SAME,0.0017164318356057055,,True,True,explode
4,stamp_offset,SAME,0.0009103378008309123,,True,True,explode
5,repeat_mode,SAME,0.01,,True,True,explode
6,repeat_offset,SAME,0.009869887000597218,,True,True,explode
7,mirror,SAME,0.005830771203447547,,True,True,explode
0,global_mutation_rate,BETTER,0.007920793643629642,,True,True,explode
1,global_crossover_rate,BETTER,0.810749316574389,,True,True,explode
2,seed,BETTER,0.01,,True,True,explode
3,stamp,BETTER,0.0015392308753472464,,True,True,explode
4,stamp_offset,BETTER,0.007259970109049571,,True,True,explode
5,repeat_mode,BETTER,0.01,,True,True,explode
6,repeat_offset,BETTER,0.01,,True,True,explode
7,mirror,BETTER,0.008413972130827943,,True,True,explode
0,global_mutation_rate,WORSE,0.003402505165179919,,False,False,two_cycle
1,global_crossover_rate,WORSE,0.09671637683346401,,False,False,two_cycle
2,seed,WORSE,0.003402505165179919,,False,False,two_cycle
3,stamp,WORSE,0.003402505165179919,,False,False,two_cycle
4,stamp_offset,WORSE,0.003402505165179919,,False,False,two_cycle
