Gene                     Worse    Same     Better  
global_mutation_rate     0.0070   0.0070   0.0070  
global_crossover_rate    0.0065   0.0065   0.0065  
seed                     0.0070   0.0070   0.0070  
stamp                    0.0070   0.0070   0.0070  
stamp_offset             0.0070   0.0070   0.0070  
repeat_mode              0.0070   0.0070   0.0070  
repeat_offset            0.0070   0.0070   0.0070  
mirror                   0.0070   0.0070   0.0070  
