Gene                     Worse    Same     Better  
global_mutation_rate     0.0016   0.0016   0.0016  
global_crossover_rate    0.3795   0.3795   0.3795  
seed                     0.0016   0.0016   0.0016  
stamp                    0.0016   0.0016   0.0016  
stamp_offset             0.0016   0.0016   0.0016  
repeat_mode              0.0016   0.0016   0.0016  
repeat_offset            0.0016   0.0016   0.0016  
mirror                   0.0016   0.0016   0.0016  
