Gene                     Worse    Same     Better  
global_mutation_rate     0.0086   0.0025   0.0019  
global_crossover_rate    0.3956   0.9145   0.4589  
seed                     0.0086   0.0025   0.0019  
stamp                    0.0086   0.0025   0.0019  
stamp_offset             0.0086   0.0025   0.0019  
repeat_mode              0.0086   0.0025   0.0019  
repeat_offset            0.0086   0.0025   0.0019  
mirror                   0.0086   0.0025   0.0019  
