Gene                     Worse    Same     Better  
global_mutation_rate     0.0042   0.0021   0.0081  
global_crossover_rate    0.5176   0.1210   0.2247  
seed                     0.0042   0.0021   0.0081  
stamp                    0.0042   0.0021   0.0081  
stamp_offset             0.0042   0.0021   0.0081  
repeat_mode              0.0042   0.0021   0.0081  
repeat_offset            0.0042   0.0021   0.0081  
mirror                   0.0042   0.0021   0.0081  
