Gene                     Worse    Same     Better  
global_mutation_rate     0.0034   0.0034   0.0034  
global_crossover_rate    0.0967   0.0967   0.0967  
seed                     0.0034   0.0034   0.0034  
stamp                    0.0034   0.0034   0.0034  
stamp_offset             0.0034   0.0034   0.0034  
repeat_mode              0.0034   0.0034   0.0034  
repeat_offset            0.0034   0.0034   0.0034  
mirror                   0.0034   0.0034   0.0034  
