Gene                     Worse    Same     Better  
global_mutation_rate     0.0040   0.0040   0.0040  
global_crossover_rate    0.8166   0.8166   0.8166  
seed                     0.0072   0.0072   0.0072  
stamp                    0.0058   0.0058   0.0058  
stamp_offset             0.0020   0.0020   0.0020  
repeat_mode              0.0013   0.0013   0.0013  
repeat_offset            0.0060   0.0060   0.0060  
mirror                   0.0006   0.0006   0.0006  
