Gene                     Worse    Same     Better  
global_mutation_rate     0.0042   0.0021   0.0054  
global_crossover_rate    0.7299   0.2012   0.3117  
seed                     0.0042   0.0021   0.0054  
stamp                    0.0042   0.0021   0.0054  
stamp_offset             0.0042   0.0021   0.0054  
repeat_mode              0.0042   0.0021   0.0054  
repeat_offset            0.0042   0.0021   0.0054  
mirror                   0.0042   0.0021   0.0054  
