Gene                     Worse    Same     Better  
global_mutation_rate     0.0010   0.0010   0.0010  
global_crossover_rate    0.1555   0.1555   0.1555  
seed                     0.0010   0.0010   0.0010  
stamp                    0.0010   0.0010   0.0010  
stamp_offset             0.0010   0.0010   0.0010  
repeat_mode              0.0010   0.0010   0.0010  
repeat_offset            0.0010   0.0010   0.0010  
mirror                   0.0010   0.0010   0.0010  
