Gene                     Worse    Same     Better  
global_mutation_rate     0.0089   0.0009   0.0042  
global_crossover_rate    0.7291   0.1634   0.3795  
seed                     0.0089   0.0009   0.0042  
stamp                    0.0089   0.0009   0.0042  
stamp_offset             0.0089   0.0009   0.0042  
repeat_mode              0.0089   0.0009   0.0042  
repeat_offset            0.0089   0.0009   0.0042  
mirror                   0.0089   0.0009   0.0042  
