Gene                     Worse    Same     Better  
global_mutation_rate     0.0087   0.0003   0.0032  
global_crossover_rate    0.2328   0.1010   0.2780  
seed                     0.0087   0.0003   0.0032  
stamp                    0.0087   0.0003   0.0032  
stamp_offset             0.0087   0.0003   0.0032  
repeat_mode              0.0087   0.0003   0.0032  
repeat_offset            0.0087   0.0003   0.0032  
mirror                   0.0087   0.0003   0.0032  
