Gene                     Worse    Same     Better  
global_mutation_rate     0.0076   0.0054   0.0078  
global_crossover_rate    0.5304   0.0006   0.3242  
seed                     0.0076   0.0054   0.0078  
stamp                    0.0076   0.0054   0.0078  
stamp_offset             0.0076   0.0054   0.0078  
repeat_mode              0.0076   0.0054   0.0078  
repeat_offset            0.0076   0.0054   0.0078  
mirror                   0.0076   0.0054   0.0078  
